GRAPH_SIZE	PROBABILITY	ONE_WALKS	BOTH_WALK	ITERATIONS

50		0.5		50.151		48.382		1000
100		0.5		101.624		101.619		1000
250		0.5		254.693		251.842		1000
500		0.5		499.064		505.84		1000
1000		0.5		964.232		1025.911	1000

50		0.6		49.062		51.333		1000
100		0.6		95.169		99.195		1000
250		0.6		255.788		257.576		1000
500		0.6		488.349		478.009		1000
1000		0.6		1011.766	1014.237	1000

50		0.7		49.632		49.045		1000
100		0.7		93.103		100.836		1000
250		0.7		256.465		260.017		1000
500		0.7		487.206		510.052		1000
1000		0.7		1015.105	1053.254	1000

50		0.8		49.063		49.357		1000
100		0.8		100.402		98.722		1000
250		0.8		240.855		238.224		1000
500		0.8		515.759		504.318		1000
1000		0.8		988.255		1018.74		1000

50		0.9		48.509		47.945		1000
100		0.9		100.269		103.334		1000
250		0.9		248.154		251.266		1000
500		0.9		524.905		489.229		1000
1000		0.9		956.765		1042.259	1000

50		1		48.022		48.495		1000
100		1		98.716		95.906		1000
250		1		256.286		250.107		1000
500		1		510.483		501.649		1000
1000		1		997.516		1006.106	1000
