GRAPH_SIZE	PROBABILITY	ONE_WALKS	BOTH_WALK	ITERATIONS

50		0,5		49,719		50,966		1000
100		0,5		107,176		97,352		1000
250		0,5		268,127		250,197		1000
500		0,5		506,88		486,925		1000
1000		0,5		1009,139	990,129		1000

50		0,6		48,722		50,98		1000
100		0,6		99,854		98,963		1000
250		0,6		243,906		237,426		1000
500		0,6		480,89		488,749		1000
1000		0,6		1009,423	995,867		1000

50		0,7		50,612		47,116		1000
100		0,7		101,318		98,883		1000
250		0,7		251,947		242,767		1000
500		0,7		462,582		483,305		1000
1000		0,7		964,592		1020,852	1000

50		0,8		49,688		49,357		1000
100		0,8		101,109		95,084		1000
250		0,8		240,998		253,801		1000
500		0,8		505,448		482,291		1000
1000		0,8		989,118		990,627		1000

50		0,9		48,033		51,216		1000
100		0,9		102,043		104,6		1000
250		0,9		258,579		262,215		1000
500		0,9		491,949		505,997		1000
1000		0,9		1054,862	990,246		1000

50		1		48,153		49,066		1000
100		1		103,702		99,037		1000
250		1		249,194		262,581		1000
500		1		506,572		495,804		1000
